Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Name,Adjusted_Date,open_next_day,open_close_diff,close_next_open_diff,open_next_open_diff,Label
2024-09-05 00:00:00+05:30,2285.0,2312.0,2268.0,2290.199951171875,1824749,0.0,0.0,LUPIN.NS,2024-09-05,2281.10009765625,5.199951171875,-9.099853515625,-3.89990234375,-1
2024-09-06 00:00:00+05:30,2281.10009765625,2298.0,2247.300048828125,2256.5,917674,0.0,0.0,LUPIN.NS,2024-09-06,2221.949951171875,-24.60009765625,-34.550048828125,-59.150146484375,-1
2024-09-09 00:00:00+05:30,2221.949951171875,2239.699951171875,2185.550048828125,2216.800048828125,1456758,0.0,0.0,LUPIN.NS,2024-09-09,2227.0,-5.14990234375,10.199951171875,5.050048828125,1
2024-09-10 00:00:00+05:30,2227.0,2251.35009765625,2213.0,2222.550048828125,709614,0.0,0.0,LUPIN.NS,2024-09-10,2229.0,-4.449951171875,6.449951171875,2.0,1
2024-09-11 00:00:00+05:30,2229.0,2257.949951171875,2200.5,2209.39990234375,1202743,0.0,0.0,LUPIN.NS,2024-09-11,2225.10009765625,-19.60009765625,15.7001953125,-3.89990234375,1
2024-09-12 00:00:00+05:30,2225.10009765625,2260.0,2217.85009765625,2247.5,2107674,0.0,0.0,LUPIN.NS,2024-09-12,2264.949951171875,22.39990234375,17.449951171875,39.849853515625,1
2024-09-13 00:00:00+05:30,2264.949951171875,2278.800048828125,2249.300048828125,2256.449951171875,703610,0.0,0.0,LUPIN.NS,2024-09-13,2269.0,-8.5,12.550048828125,4.050048828125,1
2024-09-16 00:00:00+05:30,2269.0,2284.449951171875,2237.449951171875,2251.85009765625,1079633,0.0,0.0,LUPIN.NS,2024-09-16,2259.85009765625,-17.14990234375,8.0,-9.14990234375,1
2024-09-17 00:00:00+05:30,2259.85009765625,2286.0,2251.050048828125,2270.39990234375,947808,0.0,0.0,LUPIN.NS,2024-09-17,2274.0,10.5498046875,3.60009765625,14.14990234375,1
2024-09-18 00:00:00+05:30,2274.0,2279.0,2213.0,2224.949951171875,503570,0.0,0.0,LUPIN.NS,2024-09-18,2224.0,-49.050048828125,-0.949951171875,-50.0,-1
2024-09-19 00:00:00+05:30,2224.0,2224.0,2145.35009765625,2171.89990234375,1099230,0.0,0.0,LUPIN.NS,2024-09-19,2160.0,-52.10009765625,-11.89990234375,-64.0,-1
2024-09-20 00:00:00+05:30,2160.0,2166.800048828125,2138.14990234375,2151.699951171875,1330836,0.0,0.0,LUPIN.NS,2024-09-20,2158.0,-8.300048828125,6.300048828125,-2.0,1
2024-09-23 00:00:00+05:30,2158.0,2185.75,2141.550048828125,2182.25,692016,0.0,0.0,LUPIN.NS,2024-09-23,2190.0,24.25,7.75,32.0,1
2024-09-24 00:00:00+05:30,2190.0,2222.39990234375,2179.449951171875,2215.75,1092005,0.0,0.0,LUPIN.NS,2024-09-24,2220.0,25.75,4.25,30.0,1
2024-09-25 00:00:00+05:30,2220.0,2229.0,2193.449951171875,2221.10009765625,1298533,0.0,0.0,LUPIN.NS,2024-09-25,2233.0,1.10009765625,11.89990234375,13.0,1
2024-09-26 00:00:00+05:30,2233.0,2237.550048828125,2161.14990234375,2188.14990234375,1238171,0.0,0.0,LUPIN.NS,2024-09-26,2170.0,-44.85009765625,-18.14990234375,-63.0,-1
2024-09-27 00:00:00+05:30,2170.0,2227.0,2163.75,2218.5,1476470,0.0,0.0,LUPIN.NS,2024-09-27,2183.0,48.5,-35.5,13.0,-1
2024-09-30 00:00:00+05:30,2183.0,2219.800048828125,2179.5,2191.10009765625,1594529,0.0,0.0,LUPIN.NS,2024-09-30,2192.0,8.10009765625,0.89990234375,9.0,1
2024-10-01 00:00:00+05:30,2192.0,2219.0,2175.050048828125,2194.39990234375,786650,0.0,0.0,LUPIN.NS,2024-10-01,2180.39990234375,2.39990234375,-14.0,-11.60009765625,-1
2024-10-03 00:00:00+05:30,2180.39990234375,2200.0,2154.300048828125,2183.60009765625,504882,0.0,0.0,LUPIN.NS,2024-10-03,2170.14990234375,3.2001953125,-13.4501953125,-10.25,-1
2024-10-04 00:00:00+05:30,2170.14990234375,2240.0,2163.0,2198.25,878040,0.0,0.0,LUPIN.NS,2024-10-04,2198.25,28.10009765625,0.0,28.10009765625,1
2024-10-07 00:00:00+05:30,2198.25,2210.85009765625,2140.0,2174.89990234375,1166830,0.0,0.0,LUPIN.NS,2024-10-07,2165.0,-23.35009765625,-9.89990234375,-33.25,-1
2024-10-08 00:00:00+05:30,2165.0,2228.5,2157.10009765625,2216.949951171875,672622,0.0,0.0,LUPIN.NS,2024-10-08,2228.800048828125,51.949951171875,11.85009765625,63.800048828125,1
2024-10-09 00:00:00+05:30,2228.800048828125,2298.0,2221.550048828125,2286.050048828125,1064651,0.0,0.0,LUPIN.NS,2024-10-09,2300.0,57.25,13.949951171875,71.199951171875,1
2024-10-10 00:00:00+05:30,2300.0,2304.89990234375,2112.0,2154.64990234375,2227752,0.0,0.0,LUPIN.NS,2024-10-10,2170.0,-145.35009765625,15.35009765625,-130.0,1
2024-10-11 00:00:00+05:30,2170.0,2229.0,2158.64990234375,2224.5,1215960,0.0,0.0,LUPIN.NS,2024-10-11,2218.050048828125,54.5,-6.449951171875,48.050048828125,-1
2024-10-14 00:00:00+05:30,2218.050048828125,2249.949951171875,2195.949951171875,2243.89990234375,815015,0.0,0.0,LUPIN.NS,2024-10-14,2239.89990234375,25.849853515625,-4.0,21.849853515625,-1
2024-10-15 00:00:00+05:30,2239.89990234375,2272.89990234375,2235.949951171875,2250.89990234375,745318,0.0,0.0,LUPIN.NS,2024-10-15,2248.0,11.0,-2.89990234375,8.10009765625,-1
2024-10-16 00:00:00+05:30,2248.0,2257.0,2181.300048828125,2195.300048828125,800070,0.0,0.0,LUPIN.NS,2024-10-16,2207.0,-52.699951171875,11.699951171875,-41.0,1
2024-10-17 00:00:00+05:30,2207.0,2207.0,2158.0,2176.300048828125,596088,0.0,0.0,LUPIN.NS,2024-10-17,2180.64990234375,-30.699951171875,4.349853515625,-26.35009765625,1
2024-10-18 00:00:00+05:30,2180.64990234375,2196.699951171875,2153.64990234375,2179.699951171875,692637,0.0,0.0,LUPIN.NS,2024-10-18,2179.699951171875,-0.949951171875,0.0,-0.949951171875,0
2024-10-21 00:00:00+05:30,2179.699951171875,2206.949951171875,2131.64990234375,2151.949951171875,931913,0.0,0.0,LUPIN.NS,2024-10-21,2154.050048828125,-27.75,2.10009765625,-25.64990234375,1
2024-10-22 00:00:00+05:30,2154.050048828125,2172.25,2125.0,2132.050048828125,641471,0.0,0.0,LUPIN.NS,2024-10-22,2120.39990234375,-22.0,-11.650146484375,-33.650146484375,-1
2024-10-23 00:00:00+05:30,2120.39990234375,2149.0,2068.0,2074.550048828125,661952,0.0,0.0,LUPIN.NS,2024-10-23,2070.0,-45.849853515625,-4.550048828125,-50.39990234375,-1
2024-10-24 00:00:00+05:30,2070.0,2137.449951171875,2062.199951171875,2131.550048828125,703917,0.0,0.0,LUPIN.NS,2024-10-24,2137.800048828125,61.550048828125,6.25,67.800048828125,1
2024-10-25 00:00:00+05:30,2137.800048828125,2162.050048828125,2115.0,2156.699951171875,1043035,0.0,0.0,LUPIN.NS,2024-10-25,2157.050048828125,18.89990234375,0.35009765625,19.25,1
2024-10-28 00:00:00+05:30,2157.050048828125,2217.0,2157.050048828125,2204.699951171875,1339084,0.0,0.0,LUPIN.NS,2024-10-28,2214.64990234375,47.64990234375,9.949951171875,57.599853515625,1
2024-10-29 00:00:00+05:30,2214.64990234375,2214.64990234375,2168.39990234375,2206.14990234375,631970,0.0,0.0,LUPIN.NS,2024-10-29,2195.5,-8.5,-10.64990234375,-19.14990234375,-1
2024-10-30 00:00:00+05:30,2195.5,2211.199951171875,2151.0,2158.25,905336,0.0,0.0,LUPIN.NS,2024-10-30,2169.449951171875,-37.25,11.199951171875,-26.050048828125,1
2024-10-31 00:00:00+05:30,2169.449951171875,2200.0,2148.35009765625,2186.949951171875,1397820,0.0,0.0,LUPIN.NS,2024-10-31,2204.39990234375,17.5,17.449951171875,34.949951171875,1
2024-11-01 00:00:00+05:30,2204.39990234375,2205.0,2180.25,2197.699951171875,60791,0.0,0.0,LUPIN.NS,2024-11-01,2212.800048828125,-6.699951171875,15.10009765625,8.400146484375,1
2024-11-04 00:00:00+05:30,2212.800048828125,2218.85009765625,2177.0,2188.35009765625,1118307,0.0,0.0,LUPIN.NS,2024-11-04,2199.0,-24.449951171875,10.64990234375,-13.800048828125,1
2024-11-05 00:00:00+05:30,2199.0,2210.5,2092.5,2181.75,1792958,0.0,0.0,LUPIN.NS,2024-11-05,2194.0,-17.25,12.25,-5.0,1
2024-11-06 00:00:00+05:30,2194.0,2201.39990234375,2145.5,2166.050048828125,1115766,0.0,0.0,LUPIN.NS,2024-11-06,2181.800048828125,-27.949951171875,15.75,-12.199951171875,1
